Voltage_measured_max,Voltage_measured_min,Voltage_measured_mean,Current_measured_max,Current_measured_min,Current_measured_mean,Temperature_measured_mean,Capacity_max
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.1918044,2.384455,3.4982152,0.0019742611,-2.0102067,-1.8322412,32.324917,1.5811559
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.191818,2.3842714,3.4981675,0.0019897816,-2.0102122,-1.8320758,32.324387,1.5816292
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.1917677,2.384938,3.4983401,0.001933526,-2.0101924,-1.8326758,32.3263,1.5799104
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
4.19182,2.3842497,3.498162,0.0019916198,-2.010213,-1.8320564,32.324326,1.5816852
