Voltage_measured_max,Voltage_measured_min,Voltage_measured_mean,Current_measured_max,Current_measured_min,Current_measured_mean,Temperature_measured_mean,Capacity_max
4.191953,2.4250953,3.5154994,0.0019886391,-2.012021,-1.8652502,31.971943,1.644268
4.1915326,2.4525425,3.509467,0.002078276,-2.0130494,-1.8530169,32.079994,1.6145685
4.1914854,2.469664,3.5036526,0.002260203,-2.0134745,-1.8428495,32.16348,1.5809721
4.1944785,2.2825975,3.5275457,0.001272032,-2.0060077,-1.9099112,31.949781,1.7080929
4.1937747,2.2997828,3.5286684,0.0012674303,-2.006901,-1.9108763,31.908764,1.7174404
4.195954,2.2135074,3.5276036,0.0010732971,-2.0015244,-1.9153731,32.054234,1.7071794
4.18513,2.477265,3.4317713,0.002086326,-2.0150714,-1.682876,33.44221,1.3358028
4.1918273,2.4384995,3.5092704,0.0021916907,-2.0124514,-1.8524467,32.088867,1.6089002
4.188998,2.4775116,3.457955,0.0024657494,-2.0149133,-1.7373544,32.868156,1.4213499
4.185351,2.4756541,3.4326904,0.0020531872,-2.01495,-1.6851194,33.42023,1.3400685
4.1951756,2.2494233,3.5264082,0.0011677494,-2.0042508,-1.908055,32.001183,1.7055568
4.1934385,2.3179655,3.5282311,0.0013521609,-2.0079775,-1.9054815,31.89277,1.7126021
4.193851,2.2997303,3.5247374,0.0014659103,-2.0069485,-1.9009857,31.972227,1.6936529
4.1887903,2.4766138,3.4577143,0.0024983361,-2.0149238,-1.7364278,32.887306,1.4182278
4.186499,2.484657,3.4383988,0.0021976386,-2.0154283,-1.6977726,33.298874,1.355523
4.1931024,2.3396654,3.525896,0.0015636587,-2.0087943,-1.8967109,31.884195,1.695986
4.1904984,2.4909844,3.4733167,0.002493104,-2.0148463,-1.7754563,32.60871,1.471556
4.1915026,2.4581861,3.5052023,0.0022238744,-2.0133305,-1.8418208,32.147655,1.5906593
4.1956353,2.241476,3.5259507,0.0012173727,-2.0039203,-1.9114894,32.016556,1.7008876
4.1980805,2.1398609,3.5254164,0.0007988781,-1.9977893,-1.916544,32.163147,1.6934409
4.1915846,2.4371736,3.5149672,0.0019482273,-2.012434,-1.862691,31.992102,1.6428533
4.197122,2.1703725,3.526054,0.0009997266,-1.9998581,-1.9145527,32.116234,1.7022916
4.191453,2.4627705,3.4977553,0.0023871362,-2.0136702,-1.8257335,32.232235,1.564496
4.1896086,2.477879,3.4656177,0.002544885,-2.0145807,-1.7571943,32.73326,1.4448617
4.1877446,2.4849868,3.4524605,0.0022715547,-2.015351,-1.721933,33.03234,1.3918698
4.1995564,2.1008446,3.5242138,0.0008039071,-1.9962097,-1.9226167,32.226654,1.6896173
4.191646,2.4133532,3.52116,0.0017284068,-2.0114567,-1.8800265,31.905924,1.673324
4.1920075,2.4142513,3.519403,0.0018341147,-2.011645,-1.8740221,31.919233,1.6630973
4.1990323,2.0986362,3.5234845,0.00083190476,-1.9962126,-1.9184673,32.24322,1.6818459
4.1904454,2.4868548,3.4810057,0.0024780154,-2.0144556,-1.7908393,32.521706,1.4956425
4.1937847,2.299587,3.5274558,0.0013035315,-2.0072148,-1.9049346,31.918558,1.711115
4.1998477,2.0819805,3.5237446,0.0006990183,-1.9954606,-1.9220206,32.258568,1.6825004
4.191738,2.4462414,3.506596,0.0022372764,-2.0128174,-1.8455579,32.112217,1.5985639
4.1918783,2.4533732,3.5083992,0.002227732,-2.0129664,-1.8519933,32.0709,1.6068503
4.187757,2.4730844,3.44848,0.0023901677,-2.0150032,-1.7171448,33.07002,1.3919336
4.199025,2.1020236,3.5245092,0.000706501,-1.9962019,-1.9183424,32.218838,1.6849772
