true,pred_meta_calibrated,pred_chronos_raw_L,last_obs_in_window
1.401063,1.4240429,1.4235657,1.4076290825911384
1.4034597,1.4156598,1.407159,1.4010629151125393
1.4021064,1.4106411,1.3997102,1.4034596175339087
1.4059517,1.406674,1.4033048,1.4021063549079416
1.402196,1.4009415,1.3994355,1.4059516878906853
1.4102604,1.4045027,1.4044037,1.4021959991457804
1.4033554,1.4018785,1.4014728,1.4102603890526468
1.4039644,1.4066999,1.4021719,1.40335531003686
1.4067758,1.404475,1.4024342,1.4039643514537692
1.4095457,1.4040579,1.4031277,1.406775781434651
1.404039,1.4051181,1.4036541,1.4095456105655004
1.4051607,1.4064436,1.4052981,1.4040389757147023
1.4086648,1.4058422,1.4068203,1.4051606150552132
1.4103782,1.4048482,1.4046264,1.4086647732350877
1.4072481,1.4053212,1.4047905,1.4103781680475138
1.4068856,1.4064008,1.4061241,1.4072480891755104
1.4064624,1.40617,1.4058073,1.4068855748174713
1.4109418,1.4063792,1.4066441,1.4064623806175045
1.4084871,1.4064733,1.406678,1.410941790113604
1.4031879,1.4068067,1.4064366,1.4084870318872942
1.4043179,1.4078966,1.4083121,1.4031878202692016
1.4086552,1.4045796,1.4054475,1.4043178073442681
1.4050431,1.4056073,1.4066001,1.4086551175356485
1.4075091,1.4051617,1.4049023,1.40504307657455
1.4118774,1.4042851,1.4046711,1.4075090389793865
1.4091464,1.4055858,1.4063551,1.4118773444253758
1.4065236,1.4080448,1.4074987,1.4091463786064873
1.4016845,1.4068913,1.4069182,1.4065235360830264
1.4064481,1.4067887,1.4084857,1.4016844740776717
1.4043773,1.4029827,1.4017502,1.4064480767783967
1.4056023,1.4047322,1.4044584,1.4043772927223974
1.4138565,1.4041556,1.403937,1.4056022856103623
1.4084176,1.4046181,1.4042739,1.4138564574384485
1.4052622,1.4101051,1.4102384,1.4084175327408268
1.4009587,1.4070649,1.4073099,1.4052621823117828
1.4068482,1.4055568,1.4052702,1.4009586076154905
1.4042203,1.4042534,1.4047784,1.4068481437811062
1.4112736,1.4055595,1.4049271,1.4042202936978745
1.4055082,1.4043713,1.4046177,1.4112735497312379
1.4072214,1.4072875,1.4076319,1.4055081121387536
1.406629,1.4058985,1.4062948,1.4072213866940777
1.4051772,1.4052858,1.4060763,1.406628916435568
1.410774,1.4060216,1.4054079,1.4051771862136127
1.4124979,1.4056243,1.4061128,1.4107739436282503
1.3902233,1.4066525,1.4072785,1.4124978291838117
1.395189,1.4087863,1.409918,1.3902232155938656
1.3931034,1.4046329,1.4043543,1.3951889961557284
1.39005,1.4019202,1.3993883,1.393103311028722
1.386071,1.3953528,1.3950703,1.3900500048310453
1.3912679,1.3921038,1.3931714,1.3860709162245277
1.3976775,1.3887043,1.3879938,1.3912678471506597
1.3961644,1.3925822,1.3918849,1.3976774912283298
1.3939931,1.3963598,1.396209,1.3961643677290554
1.3920089,1.3965876,1.3964318,1.3939930892719798
1.3905743,1.3951201,1.3945612,1.392008849793238
1.3949803,1.3929116,1.3929714,1.3905742852591745
1.39192,1.3909649,1.3912324,1.3949802622557326
1.3947296,1.3939413,1.3929294,1.391919921693197
1.3966341,1.392385,1.3937002,1.3947295653831948
1.3965479,1.3934455,1.3936199,1.3966340514329274
1.3950472,1.3951899,1.3946359,1.3965478635733655
1.390948,1.3960314,1.3962036,1.395047138716416
1.3945272,1.3944333,1.3945416,1.3909480064981468
1.3890452,1.3923513,1.3926134,1.3945271470078533
1.3941928,1.3935739,1.3947982,1.3890451878333998
1.395511,1.3922393,1.3914187,1.3941927647044356
1.3884497,1.3937657,1.3931575,1.3955109825192278
1.394245,1.3946483,1.3943619,1.388449617914309
1.3969194,1.3904245,1.3900794,1.3942449779059092
1.3910776,1.3932183,1.3929476,1.3969193201954528
1.3991184,1.3949193,1.3946353,1.3910775869034393
1.3905823,1.3924142,1.3916192,1.3991183739894544
1.3951418,1.3973507,1.3975933,1.390582273573628
1.3976725,1.3928592,1.3921057,1.3951417905140255
1.3870126,1.3944683,1.3939056,1.397672483668559
1.3944342,1.3953185,1.3945572,1.3870125509515634
1.3946258,1.3915453,1.3908918,1.3944341625952297
1.3931253,1.3943081,1.3930832,1.3946257335097403
1.394125,1.3938245,1.39406,1.3931252464645878
1.388812,1.3937534,1.3946197,1.3941249342941573
1.3947561,1.3935173,1.393856,1.388811897162958
1.3944372,1.3915318,1.3931696,1.3947560300528306
1.3886821,1.3936863,1.3945918,1.3944371433499123
1.398824,1.3941004,1.3938117,1.3886820762434615
1.3934908,1.3927273,1.3927743,1.3988239278534906
1.3907486,1.3937733,1.394396,1.3934907415773097
1.3924801,1.3939718,1.394234,1.3907485715798946
1.393373,1.3923366,1.3931837,1.3924800846786038
1.3939139,1.3923184,1.3916847,1.3933729625824427
1.3921638,1.3927486,1.393133,1.3939138141689713
1.3867998,1.3923163,1.3918016,1.3921637031067744
1.3877207,1.3919914,1.391287,1.3867997634413918
1.3896899,1.3913571,1.3908538,1.3877206544939533
1.385004,1.3902297,1.389984,1.389689871293383
1.387505,1.3915646,1.3897794,1.3850039952165794
1.3925577,1.390466,1.3902516,1.3875050051349973
1.3877991,1.3891475,1.3877404,1.39255768969422
1.3846805,1.3904208,1.3897858,1.3877990945532657
1.3879092,1.3896343,1.3883281,1.3846804576715859
1.3888271,1.38607,1.3859713,1.387909123045476
1.3853357,1.3887802,1.3889922,1.3888270360457617
1.3898762,1.3882748,1.3886322,1.3853356345771113
1.3891523,1.3875808,1.3880918,1.389876196836326
1.3850178,1.3885881,1.3892472,1.3891522382733343
1.3826206,1.3871855,1.3878033,1.3850177018237877
1.3915148,1.3881469,1.388092,1.3826205210764175
1.3875672,1.385873,1.3864208,1.3915147282248184
1.3887832,1.387774,1.3881937,1.387567111847707
1.3878081,1.3859212,1.3847642,1.3887831678764373
1.3882494,1.387849,1.3867193,1.387808034114907
1.3907909,1.3869268,1.3881451,1.3882493479523608
1.3879052,1.3869169,1.3878962,1.3907908885677251
1.3913922,1.3885093,1.3876853,1.3879051910436053
1.3883218,1.389324,1.3895441,1.3913921821843844
1.3875992,1.3895706,1.3901974,1.388321707596409
1.3881687,1.3897688,1.390725,1.387599181309013
1.3921869,1.3893651,1.389049,1.3881686432761635
1.3892721,1.3895298,1.3899983,1.392186830304032
