true,pred,base
1.3236819529092416,1.325412460395098,1.3250695507675303
1.3168072664862494,1.321696757646259,1.321352049304295
1.3166314336695006,1.3257616655230533,1.3254177886622722
1.3179202125345122,1.3177909341795226,1.3174497638748381
1.3183804713074405,1.318958630718351,1.31861552594724
1.3192608401904498,1.3179762866073694,1.3176327406421613
1.3182411218487318,1.318523299411916,1.3181809582459734
1.3178088704164754,1.3204303863506857,1.3200864500983915
1.3198552134844332,1.3187646495521028,1.3184224695916957
1.3221459356597456,1.3192048509626113,1.318861118338362
1.319716093107275,1.3195796708017113,1.3192359975689751
1.3213254249374276,1.3221974111325894,1.3218552990481973
1.3165577627397655,1.3205096740206586,1.3201672055871878
1.3186339118627919,1.3224999260467554,1.3221572030782287
1.3170832418785667,1.317189535717991,1.3168477205911644
1.3251504929153677,1.3198003696643472,1.3194830577789203
1.3181268016705388,1.3180804168988167,1.3177687811451408
1.3162308973052335,1.3244613816735065,1.324142160775159
1.320040226532205,1.3190919986032417,1.3187720650067372
1.3170473609201596,1.3173313202287364,1.3170114969307563
1.319201465646365,1.3199976003948115,1.3196841404732336
1.317048311184369,1.3175292891108634,1.3172184084778538
1.3206923029234048,1.3195078919158931,1.319191453934159
1.319180373174717,1.31706764736413,1.316756664917098
1.3169931194997062,1.3205825728607234,1.3202716243516988
1.3177231514940853,1.3197100775954493,1.3193985097177883
1.3214228185343904,1.3181023493361501,1.3177918505057247
1.31776428435915,1.3186871775655302,1.3183770350841832
1.318939090910545,1.3193079376603287,1.319008468682334
1.3184618970718847,1.3177162196560577,1.317409920654058
1.3200166226480035,1.318346499361954,1.3180469540234425
1.3191243415243692,1.3189572477445464,1.318651160855093
1.320716857071816,1.3188900250362323,1.3185831321191015
1.3175513742692304,1.3188039412802617,1.3184953344937533
1.322117444702467,1.3194305641658521,1.3191194459667903
1.315682170631309,1.3185092405923178,1.3181989199364317
1.3117847468214239,1.320667536662447,1.3203715802682263
1.3185985060364895,1.3182582944805161,1.3179536499563809
1.312761906901763,1.3150912420450847,1.3147910094619215
1.3106874207411032,1.318013949311169,1.3177107726058574
1.3142658442496895,1.3163635355229633,1.3160547929844248
1.3204891669796393,1.314709363100429,1.3144020714117104
1.3099092222296096,1.3160268026127566,1.315714751118489
1.3093780245365483,1.3167237620188472,1.316412287470707
1.3078594174848888,1.312685368210396,1.3123845162585965
1.313557031994487,1.31096942861425,1.3106681778908627
1.3115376272199655,1.3100082193974258,1.3097061117393496
1.3216476408649351,1.312064896588661,1.3117597345099117
1.3141857420675374,1.3118913545874171,1.3115845125772976
1.3101301162357886,1.317196374226498,1.3168890061772625
1.310128453273422,1.315578277905914,1.3152696541504019
1.312466502000164,1.3115819587422348,1.3112726307730673
1.3134965884031666,1.310568552869908,1.3102696353845347
1.313970922964697,1.313421398747597,1.3131194438105545
1.3148995601788431,1.3132955820693704,1.312990487866636
1.3100652691879981,1.313889047521654,1.313587050162102
1.3155120648533225,1.3128871211803568,1.3125788283204176
1.313651922663398,1.3111248646885039,1.3108199232068032
1.31395482786465,1.3125209131106546,1.3122114324204537
1.3117949960996824,1.3146703683298355,1.3143589362042045
1.3150169856847205,1.314531069778138,1.3142278761038224
1.316062335706587,1.315175179222082,1.3148722655363283
1.313475131097938,1.3135849290366346,1.3132781039955188
1.3125329017117966,1.314248951606467,1.3139956637721493
1.3164693118077735,1.3142211139558322,1.3139111157110173
1.3171874315615273,1.3149011807187003,1.314594907170206
1.3137375143182601,1.3140505075922353,1.3137389397145742
1.3114548948422335,1.316289092503558,1.3159762434661146
1.3127009881783382,1.314662783185164,1.3143575277768942
1.3126694003778772,1.3137568929205308,1.3134514508532196
1.3084222114629132,1.3135987587746822,1.3132912889114243
1.3101937754533173,1.3134987434666416,1.3131945401366036
1.3085178148299816,1.3109904277563778,1.3106807349536298
